Course Code,Course Title,Historical Consciousness,Aesthetic Exploration,Philosophical Inquiry and Life’s Meanings,Social Inquiry II,Social Inquiry I,Scientific Inquiry II,Scientific Inquiry I,Quantitative Reasoning II,Quantitative Reasoning I,Ethical Reasoning,Global Citizenship and Intercultural Literacy,The Individual in Community,Digital/Multimedia Expression,Oral and/or Signed Communication,Writing-Intensive Course,"Writing, Research, and Inquiry",First-Year Writing Seminar,Creativity / Innovation,Teamwork / Collaboration,Research and Information Literacy,Critical Thinking
CAS AH 326,Arts of Japan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 328,Modern Japanese Architecture,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AH 333,Arts of Classical Greece,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS AH 349E,Art Renaissance Padua,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 356E,FRENCH Art & Architecture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 361,Southern Baroque Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 365,Baroque Arts in Northern Europe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 369,American Folk Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 379,American Art and Culture in the Nineteenth Century,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 380,The Age of Napoleon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 381E,London Architecture and Urbanism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 383E,Architecture of Paris,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 386,Modern American Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 386S,Modern American Art,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 388E,British Painting from Holbein to the Twentieth Century,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 389S,The Age of Impressionism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 391,Twentieth-Century Art to 1940,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 392,Twentieth Century Art from 1940 to 1980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 393,Contemporary Art: 1980 to Now,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 393S,Contemporary Art: 1980 to Now,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 395,History of Photography,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 395S,History of Photography,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 398,Global Modern and Contemporary Architecture,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AH 398S,Global Modern and Contemporary Architecture,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 102,"Human Biology, Behavior, and Evolution",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 202,Archaeological Mysteries: Pseudoscience and Fallacy in the Human Past,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 206,Ancient Technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AN 243,Shamans and Shamanism,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 285,Coping with Crisis in Contemporary Africa (area),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 287,Slavery and the In-Between,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS AN 291,Peoples of the Arctic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 305,Paleolithic Archaeology,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 310,Studies in North American Ethnography (area),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 319,Anthropology of Muslim Cultures and Politics (area),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 319S,Anthropology of Muslim Cultures and Politics,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 321,Cognition and Culture,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 323,East Africa: Order and Change (area),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 327,Islam in Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AN 331,Human Origins,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 337,Creation and Evolution,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 344,Culture and Social Change in Japan (area),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 365E,SPAIN MEXICO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AN 368E,AUSTRL CULT&SOC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AN 384,Anthropology of Religion,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 384S,Anthropological Study of Religion,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 397,Anthropology and Film: Ways of Seeing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 506,Regional Archaeology and Geographical Information Systems,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AN 532,Literacy and Islam in Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AN 565,"Memory in 3-D: Memorials, Then and Now",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AN 575,The Cosmopolitan Past: Material Identity in the Ancient Mediterranean,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 719,Anthropology of Muslim Cultures and Politics (Area),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 744,"Modern Japanese Society: Family, School, and Workplace (Area)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 784,Anthropology of Religion,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AN 797,Anthropology and Film: Ways of Seeing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 100,Archaeology Today,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS AR 100S,Archaeology Today,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS AR 150,Archaeology of Cities,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AR 190,Introduction to Archaeology,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 190S,Introduction to Archaeology,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 200,Heritage Matters: Introduction to Heritage Management,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 200E,HERITAGE MATTRS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 202,Archaeological Mysteries: Pseudoscience and Fallacy in the Human Past,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AR 205,Origins of Civilization,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 206,Ancient Technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AR 210,Minoan and Mycenaean Civilizations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AR 230,Introduction to Greek & Roman Archaeology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CAS AR 230S,Introduction to Greek and Roman Archaeology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CAS AR 232,Archaeology of Ancient Egypt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 251,Ancient Maya Civilization,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 273,Archaeology of the Viking Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 291,Peoples of the Arctic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AR 305,Paleolithic Archaeology,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AR 331,Early Greek Art and Architecture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS AR 333,Arts of Classical Greece,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS AR 347,"Egypt and Northeast Africa: Early States in Egypt, Nubia, and Eritrea/Ethiopia",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS AR 365E,SPAIN MEXICO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AR 435,Materiality and Religion in Late Antiquity,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 503E,Archaeological Field Methods,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AR 506,Regional Archaeology and Geographical Information Systems,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AR 565,"Memory in 3-D: Memorials, then and now",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AR 575,The Cosmopolitan Past: Material Identity in the Ancient Mediterranean,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AS 413,Extragalactic Astrophysics and Cosmology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AS 414,Solar and Space Physics,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CAS BI 206,Genetics,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS BI 206S,Genetics,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS BI 216,Intensive Genetics,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS BI 282,Fundamentals of Biology 2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS BI 302,Vertebrate Zoology,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS BI 414,Ornithology,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS BI 475,Urban Ecology,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS BI 675,Urban Ecology,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS CC 211,"Power, Political Forms, and Economics: Core Social Science 2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS CC 221,"Making the Modern World: Progress, Politics, and Economics",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS CG 105E,BUPH SUM LNG,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS CG 106E,BUPH SUM CLT,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CH 121,Chemistry in Culture & Society,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 101,History of Global Cinema 1: Origins through 1950s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 102,History of Global Cinema 2: 1960s to the Present,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 266,A Study of Italian Cinema from the 1940s to the Present,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CI 269,Representations of the Holocaust in Literature and Film,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS CI 283,Arab Cultures Through Film (in English translation),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CI 283S,Arab Cultures Through Film (in English translation),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CI 320,Weimar Cinema (taught in English),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 353,Stalin's Crimes: Gulag and Genocide,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CAS CI 369,Greek Tragedy and Film,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 383,Auteur Studies: Japan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS CI 386,Fascism and the Holocaust in Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CI 387,The Holocaust Through Film,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS CI 389,World Cities: Istanbul,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CAS CI 445,On Screen: Italians in America,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CI 470,Mexican Cinema on the World Stage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS CL 101,The World of Greece,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 101S,The World of Greece,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 102,The World of Rome,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 102S,The World of Rome,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 106,The Others: Cultural and Linguistic Diversity in Ancient World,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS CL 108,Scientific Terminology from Greek and Latin Roots,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS CL 205,Origins of Writing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 205S,Origins of Writing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 206,Women in Antiquity,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 207,Sexuality in Ancient Greece and Rome,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 211,Latin 3: Prose,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 211S,Latin 3: Prose,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 213,Greek and Roman Mythology,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CL 213S,Greek and Roman Mythology,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CL 216,Greek and Roman Religion,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 225,Roman Warfare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS CL 228,The History of Medicine in Ancient Greece and Rome,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS CL 228S,The History of Medicine in Ancient Greece and Rome,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS CL 261,Greek 3: Prose,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 261S,Greek 3: Prose,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 321,Greek History,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 325,Greek Tragedy and Film,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 325S,Greek Tragedy and Film,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CL 348,"Gods, Graves and Pyramids: Ancient Egyptian Religion and Ritual",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS CL 351,Latin Seminar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS CL 391,Greek Seminar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS CL 534,Historical and Comparative Linguistics,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS CL 717,GRK & ROMAN REL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EC 322E,ECON OF MENA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EC 333,Market Organization and Public Policy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS EC 361E,Economic Development of Europe,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EC 363,Race and the Development of the American Economy: A Global Perspective,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EC 365,Economic Institutions in Historical Perspective,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAS EC 365S,Economic Institutions in Historical Perspective,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAS EC 369,Economic Development of Latin America,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS EC 372E,Irish Economy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EC 563,Race and the Development of the American Economy: A Global Perspective,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EC 565,Economic Institutions in Historical Perspective,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAS EE 150,"Sustainable Energy: Technology, Resources, Society and Environment",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 150S,"Sustainable Energy: Technology, Resources, Society and Environment",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 201,World Regional Geography,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 201S,World Regional Geography,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 250,"The Fate of Nations: Climate, Resources, and Institutions",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS EE 351,Paleoclimatology and Paleoceanography,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 351E,Paleoclimatology and Paleoceanography,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS EE 382,Understanding the Middle East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EE 475,Urban Ecology,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS EE 522,The Development of Sustainable Environmental Responsibility,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CAS EE 522S,The Development of Sustainable Environmental Responsibility,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
